Indicator Parent,Indicator Breakdown,Secondary Breakdown Name,Secondary Breakdown,Location,Value
Gender Identity,TMAS,None,None,"Central and Northern Vancouver Island, BC",0.6
Gender Identity,TMAS,None,None,"Prince Albert, SK",1.1
Gender Identity,TMAS,None,None,"Regina, SK",1.5
Gender Identity,TMAS,None,None,"Winnipeg, MN",2.8
Gender Identity,TMAS,None,None,"Hamilton, ON",1.3
Gender Identity,TMAS,None,None,"Québec City, QC",0.8
Gender Identity,TMAS,None,None,Semi-urban sites in the province of Quebec,0.6
Gender Identity,TMAS,None,None,Newfoundland,1.5
Gender Identity,TMAS,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",4.5
Gender Identity,TMAS,Age group,25 to 39 years,"Prince Albert, SK",2
Gender Identity,TMAS,Age group,Less than 25 years,"Regina, SK",11.1
Gender Identity,TMAS,Age group,25 to 39 years,"Regina, SK",2.5
Gender Identity,TMAS,Age group,Less than 25 years,"Winnipeg, MN",5.3
Gender Identity,TMAS,Age group,25 to 39 years,"Winnipeg, MN",1.3
Gender Identity,TMAS,Age group,40 to 54 years,"Winnipeg, MN",4.9
Gender Identity,TMAS,Age group,Less than 25 years,"Hamilton, ON",25
Gender Identity,TMAS,Age group,55 years or more,"Hamilton, ON",2.9
Gender Identity,TMAS,Age group,25 to 39 years,"Québec City, QC",1.8
Gender Identity,TMAS,Age group,40 to 54 years,Semi-urban sites in the province of Quebec,1.4
Gender Identity,TMAS,Age group,Less than 25 years,Newfoundland,3.8
Gender Identity,TMAS,Age group,25 to 39 years,Newfoundland,1.6
Sentinel Site,"Whitehorse, YK",None,None,Canada,2.1
Sentinel Site,"Whitehorse, YK",Age group,Less than 25 years,Canada,1.9
Sentinel Site,"Whitehorse, YK",Age group,25 to 39 years,Canada,2.6
Sentinel Site,"Whitehorse, YK",Age group,40 to 54 years,Canada,1.7
Sentinel Site,"Whitehorse, YK",Age group,55 years or more,Canada,1.1
Sentinel Site,"Whitehorse, YK",Gender lived,CisF,Canada,3.2
Sentinel Site,"Whitehorse, YK",Gender lived,CisM,Canada,1.5
Sentinel Site,"Central and Northern Vancouver Island, BC",None,None,Canada,7.5
Sentinel Site,"Central and Northern Vancouver Island, BC",Age group,Less than 25 years,Canada,13.7
Sentinel Site,"Central and Northern Vancouver Island, BC",Age group,25 to 39 years,Canada,8.7
Sentinel Site,"Central and Northern Vancouver Island, BC",Age group,40 to 54 years,Canada,5.1
Sentinel Site,"Central and Northern Vancouver Island, BC",Age group,55 years or more,Canada,7.2
Sentinel Site,"Central and Northern Vancouver Island, BC",Gender lived,CisF,Canada,7.7
Sentinel Site,"Central and Northern Vancouver Island, BC",Gender lived,CisM,Canada,7.6
Sentinel Site,"Central and Northern Vancouver Island, BC",Gender lived,TMAS,Canada,5.9
Sentinel Site,"Prince Albert, SK",None,None,Canada,7.7
Sentinel Site,"Prince Albert, SK",Age group,Less than 25 years,Canada,2.5
Sentinel Site,"Prince Albert, SK",Age group,25 to 39 years,Canada,9.5
Sentinel Site,"Prince Albert, SK",Age group,40 to 54 years,Canada,7.6
Sentinel Site,"Prince Albert, SK",Age group,55 years or more,Canada,3
Sentinel Site,"Prince Albert, SK",Gender lived,CisF,Canada,10.6
Sentinel Site,"Prince Albert, SK",Gender lived,CisM,Canada,6
Sentinel Site,"Prince Albert, SK",Gender lived,TFEM,Canada,8.3
Sentinel Site,"Prince Albert, SK",Gender lived,TMAS,Canada,11.8
Sentinel Site,"Regina, SK",None,None,Canada,8.6
Sentinel Site,"Regina, SK",Age group,Less than 25 years,Canada,5.6
Sentinel Site,"Regina, SK",Age group,25 to 39 years,Canada,7.5
Sentinel Site,"Regina, SK",Age group,40 to 54 years,Canada,10.5
Sentinel Site,"Regina, SK",Age group,55 years or more,Canada,8.7
Sentinel Site,"Regina, SK",Gender lived,CisF,Canada,10.1
Sentinel Site,"Regina, SK",Gender lived,CisM,Canada,7.8
Sentinel Site,"Regina, SK",Gender lived,TFEM,Canada,12.5
Sentinel Site,"Regina, SK",Gender lived,TMAS,Canada,17.6
Sentinel Site,"Winnipeg, MN",None,None,Canada,7.6
Sentinel Site,"Winnipeg, MN",Age group,Less than 25 years,Canada,11.8
Sentinel Site,"Winnipeg, MN",Age group,25 to 39 years,Canada,7.6
Sentinel Site,"Winnipeg, MN",Age group,40 to 54 years,Canada,6.8
Sentinel Site,"Winnipeg, MN",Age group,55 years or more,Canada,7.6
Sentinel Site,"Winnipeg, MN",Gender lived,CisF,Canada,9.8
Sentinel Site,"Winnipeg, MN",Gender lived,CisM,Canada,6.2
Sentinel Site,"Winnipeg, MN",Gender lived,TFEM,Canada,16.7
Sentinel Site,"Winnipeg, MN",Gender lived,TMAS,Canada,29.4
Sentinel Site,"Thunder Bay, ON",None,None,Canada,8.4
Sentinel Site,"Thunder Bay, ON",Age group,Less than 25 years,Canada,13
Sentinel Site,"Thunder Bay, ON",Age group,25 to 39 years,Canada,10.1
Sentinel Site,"Thunder Bay, ON",Age group,40 to 54 years,Canada,6.4
Sentinel Site,"Thunder Bay, ON",Age group,55 years or more,Canada,5.7
Sentinel Site,"Thunder Bay, ON",Gender lived,CisF,Canada,10.6
Sentinel Site,"Thunder Bay, ON",Gender lived,CisM,Canada,7.6
Sentinel Site,"London, ON",None,None,Canada,8.6
Sentinel Site,"London, ON",Age group,Less than 25 years,Canada,7.5
Sentinel Site,"London, ON",Age group,25 to 39 years,Canada,8.2
Sentinel Site,"London, ON",Age group,40 to 54 years,Canada,9.2
Sentinel Site,"London, ON",Age group,55 years or more,Canada,9.5
Sentinel Site,"London, ON",Gender lived,CisF,Canada,5.4
Sentinel Site,"London, ON",Gender lived,CisM,Canada,10.3
Sentinel Site,"London, ON",Gender lived,TFEM,Canada,8.3
Sentinel Site,"Hamilton, ON",None,None,Canada,6.6
Sentinel Site,"Hamilton, ON",Age group,Less than 25 years,Canada,2.5
Sentinel Site,"Hamilton, ON",Age group,25 to 39 years,Canada,5
Sentinel Site,"Hamilton, ON",Age group,40 to 54 years,Canada,7.2
Sentinel Site,"Hamilton, ON",Age group,55 years or more,Canada,13.6
Sentinel Site,"Hamilton, ON",Gender lived,CisF,Canada,5.9
Sentinel Site,"Hamilton, ON",Gender lived,CisM,Canada,6.8
Sentinel Site,"Hamilton, ON",Gender lived,TFEM,Canada,8.3
Sentinel Site,"Hamilton, ON",Gender lived,TMAS,Canada,11.8
Sentinel Site,"Ottawa, ON and the region of Outaouais, QC",None,None,Canada,8.4
Sentinel Site,"Ottawa, ON and the region of Outaouais, QC",Age group,Less than 25 years,Canada,4.3
Sentinel Site,"Ottawa, ON and the region of Outaouais, QC",Age group,25 to 39 years,Canada,6
Sentinel Site,"Ottawa, ON and the region of Outaouais, QC",Age group,40 to 54 years,Canada,9.9
Sentinel Site,"Ottawa, ON and the region of Outaouais, QC",Age group,55 years or more,Canada,15.2
Sentinel Site,"Ottawa, ON and the region of Outaouais, QC",Gender lived,CisF,Canada,8.9
Sentinel Site,"Ottawa, ON and the region of Outaouais, QC",Gender lived,CisM,Canada,8.2
Sentinel Site,"Ottawa, ON and the region of Outaouais, QC",Gender lived,TFEM,Canada,8.3
Sentinel Site,"Montréal and the urban sites in the region of Montérégie, QC",None,None,Canada,8.4
Sentinel Site,"Montréal and the urban sites in the region of Montérégie, QC",Age group,Less than 25 years,Canada,6.2
Sentinel Site,"Montréal and the urban sites in the region of Montérégie, QC",Age group,25 to 39 years,Canada,7.8
Sentinel Site,"Montréal and the urban sites in the region of Montérégie, QC",Age group,40 to 54 years,Canada,10.4
Sentinel Site,"Montréal and the urban sites in the region of Montérégie, QC",Age group,55 years or more,Canada,5.3
Sentinel Site,"Montréal and the urban sites in the region of Montérégie, QC",Gender lived,CisF,Canada,4.1
Sentinel Site,"Montréal and the urban sites in the region of Montérégie, QC",Gender lived,CisM,Canada,10.7
Sentinel Site,"Québec City, QC",None,None,Canada,5.2
Sentinel Site,"Québec City, QC",Age group,Less than 25 years,Canada,6.2
Sentinel Site,"Québec City, QC",Age group,25 to 39 years,Canada,5.3
Sentinel Site,"Québec City, QC",Age group,40 to 54 years,Canada,5.5
Sentinel Site,"Québec City, QC",Age group,55 years or more,Canada,3.8
Sentinel Site,"Québec City, QC",Gender lived,CisF,Canada,5.3
Sentinel Site,"Québec City, QC",Gender lived,CisM,Canada,5.2
Sentinel Site,"Québec City, QC",Gender lived,TFEM,Canada,8.3
Sentinel Site,"Québec City, QC",Gender lived,TMAS,Canada,5.9
Sentinel Site,Semi-urban sites in the province of Quebec,None,None,Canada,7
Sentinel Site,Semi-urban sites in the province of Quebec,Age group,Less than 25 years,Canada,2.5
Sentinel Site,Semi-urban sites in the province of Quebec,Age group,25 to 39 years,Canada,6.5
Sentinel Site,Semi-urban sites in the province of Quebec,Age group,40 to 54 years,Canada,8
Sentinel Site,Semi-urban sites in the province of Quebec,Age group,55 years or more,Canada,8.3
Sentinel Site,Semi-urban sites in the province of Quebec,Gender lived,CisF,Canada,4.3
Sentinel Site,Semi-urban sites in the province of Quebec,Gender lived,CisM,Canada,8.5
Sentinel Site,Semi-urban sites in the province of Quebec,Gender lived,TFEM,Canada,4.2
Sentinel Site,Semi-urban sites in the province of Quebec,Gender lived,TMAS,Canada,5.9
Sentinel Site,New Brunswick,None,None,Canada,8.4
Sentinel Site,New Brunswick,Age group,Less than 25 years,Canada,6.2
Sentinel Site,New Brunswick,Age group,25 to 39 years,Canada,9.2
Sentinel Site,New Brunswick,Age group,40 to 54 years,Canada,8.4
Sentinel Site,New Brunswick,Age group,55 years or more,Canada,6.8
Sentinel Site,New Brunswick,Gender lived,CisF,Canada,9
Sentinel Site,New Brunswick,Gender lived,CisM,Canada,8.1
Sentinel Site,New Brunswick,Gender lived,TFEM,Canada,16.7
Sentinel Site,Newfoundland,None,None,Canada,5.5
Sentinel Site,Newfoundland,Age group,Less than 25 years,Canada,16.1
Sentinel Site,Newfoundland,Age group,25 to 39 years,Canada,6
Sentinel Site,Newfoundland,Age group,40 to 54 years,Canada,3.4
Sentinel Site,Newfoundland,Age group,55 years or more,Canada,4.2
Sentinel Site,Newfoundland,Gender lived,CisF,Canada,5
Sentinel Site,Newfoundland,Gender lived,CisM,Canada,5.6
Sentinel Site,Newfoundland,Gender lived,TFEM,Canada,8.3
Sentinel Site,Newfoundland,Gender lived,TMAS,Canada,11.8
Gender Lived,CisF,None,None,Canada,33
Gender Lived,CisF,Age group,Less than 25 years,Canada,44.1
Gender Lived,CisF,Age group,25 to 39 years,Canada,39.7
Gender Lived,CisF,Age group,40 to 54 years,Canada,27.6
Gender Lived,CisF,Age group,55 years or more,Canada,17.9
Gender Lived,CisF,Gender lived,TMAS,Canada,28.6
Gender Lived,CisF,None,None,"Whitehorse, YK",51
Gender Lived,CisF,None,None,"Central and Northern Vancouver Island, BC",33.5
Gender Lived,CisF,None,None,"Prince Albert, SK",46.1
Gender Lived,CisF,None,None,"Regina, SK",39
Gender Lived,CisF,None,None,"Winnipeg, MN",43.3
Gender Lived,CisF,None,None,"Thunder Bay, ON",41
Gender Lived,CisF,None,None,"London, ON",20.8
Gender Lived,CisF,None,None,"Hamilton, ON",29.5
Gender Lived,CisF,None,None,"Ottawa, ON and the region of Outaouais, QC",35
Gender Lived,CisF,None,None,"Montréal and the urban sites in the region of Montérégie, QC",16.2
Gender Lived,CisF,None,None,"Québec City, QC",33.6
Gender Lived,CisF,None,None,Semi-urban sites in the province of Quebec,20
Gender Lived,CisF,None,None,New Brunswick,35
Gender Lived,CisF,None,None,Newfoundland,30
Gender Lived,CisF,Age group,25 to 39 years,"Whitehorse, YK",60.7
Gender Lived,CisF,Age group,40 to 54 years,"Whitehorse, YK",40
Gender Lived,CisF,Age group,55 years or more,"Whitehorse, YK",66.7
Gender Lived,CisF,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",31.8
Gender Lived,CisF,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",38
Gender Lived,CisF,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",30.4
Gender Lived,CisF,Age group,55 years or more,"Central and Northern Vancouver Island, BC",21.1
Gender Lived,CisF,Age group,Less than 25 years,"Prince Albert, SK",75
Gender Lived,CisF,Age group,25 to 39 years,"Prince Albert, SK",53
Gender Lived,CisF,Age group,40 to 54 years,"Prince Albert, SK",36.8
Gender Lived,CisF,Age group,55 years or more,"Prince Albert, SK",25
Gender Lived,CisF,Age group,Less than 25 years,"Regina, SK",55.6
Gender Lived,CisF,Age group,25 to 39 years,"Regina, SK",48.1
Gender Lived,CisF,Age group,40 to 54 years,"Regina, SK",31.9
Gender Lived,CisF,Age group,55 years or more,"Regina, SK",30.4
Gender Lived,CisF,Age group,Less than 25 years,"Winnipeg, MN",73.7
Gender Lived,CisF,Age group,25 to 39 years,"Winnipeg, MN",48.1
Gender Lived,CisF,Age group,40 to 54 years,"Winnipeg, MN",41
Gender Lived,CisF,Age group,55 years or more,"Winnipeg, MN",5
Gender Lived,CisF,Age group,Less than 25 years,"Thunder Bay, ON",47.6
Gender Lived,CisF,Age group,25 to 39 years,"Thunder Bay, ON",46.7
Gender Lived,CisF,Age group,40 to 54 years,"Thunder Bay, ON",31.6
Gender Lived,CisF,Age group,55 years or more,"Thunder Bay, ON",26.7
Gender Lived,CisF,Age group,Less than 25 years,"London, ON",25
Gender Lived,CisF,Age group,25 to 39 years,"London, ON",27.4
Gender Lived,CisF,Age group,40 to 54 years,"London, ON",16
Gender Lived,CisF,Age group,55 years or more,"London, ON",12
Gender Lived,CisF,Age group,Less than 25 years,"Hamilton, ON",25
Gender Lived,CisF,Age group,25 to 39 years,"Hamilton, ON",34
Gender Lived,CisF,Age group,40 to 54 years,"Hamilton, ON",29.7
Gender Lived,CisF,Age group,55 years or more,"Hamilton, ON",22.9
Gender Lived,CisF,Age group,Less than 25 years,"Ottawa, ON and the region of Outaouais, QC",14.3
Gender Lived,CisF,Age group,25 to 39 years,"Ottawa, ON and the region of Outaouais, QC",38.7
Gender Lived,CisF,Age group,40 to 54 years,"Ottawa, ON and the region of Outaouais, QC",40.4
Gender Lived,CisF,Age group,55 years or more,"Ottawa, ON and the region of Outaouais, QC",20.5
Gender Lived,CisF,Age group,Less than 25 years,"Montréal and the urban sites in the region of Montérégie, QC",40
Gender Lived,CisF,Age group,25 to 39 years,"Montréal and the urban sites in the region of Montérégie, QC",23.5
Gender Lived,CisF,Age group,40 to 54 years,"Montréal and the urban sites in the region of Montérégie, QC",9.7
Gender Lived,CisF,Age group,Less than 25 years,"Québec City, QC",40
Gender Lived,CisF,Age group,25 to 39 years,"Québec City, QC",38.2
Gender Lived,CisF,Age group,40 to 54 years,"Québec City, QC",25.5
Gender Lived,CisF,Age group,55 years or more,"Québec City, QC",40
Gender Lived,CisF,Age group,Less than 25 years,Semi-urban sites in the province of Quebec,25
Gender Lived,CisF,Age group,25 to 39 years,Semi-urban sites in the province of Quebec,29
Gender Lived,CisF,Age group,40 to 54 years,Semi-urban sites in the province of Quebec,17.1
Gender Lived,CisF,Age group,Less than 25 years,New Brunswick,70
Gender Lived,CisF,Age group,25 to 39 years,New Brunswick,44.3
Gender Lived,CisF,Age group,40 to 54 years,New Brunswick,24
Gender Lived,CisF,Age group,55 years or more,New Brunswick,11.1
Gender Lived,CisF,Age group,Less than 25 years,Newfoundland,42.3
Gender Lived,CisF,Age group,25 to 39 years,Newfoundland,27
Gender Lived,CisF,Age group,40 to 54 years,Newfoundland,30
Gender Lived,CisF,Age group,55 years or more,Newfoundland,18.2
Gender Lived,CisF,Gender lived,TMAS,"Regina, SK",66.7
Gender Lived,CisF,Gender lived,TMAS,"Winnipeg, MN",50
Gender Lived,CisM,None,None,Canada,66.2
Gender Lived,CisM,Age group,Less than 25 years,Canada,53.4
Gender Lived,CisM,Age group,25 to 39 years,Canada,59.6
Gender Lived,CisM,Age group,40 to 54 years,Canada,71.9
Gender Lived,CisM,Age group,55 years or more,Canada,81.3
Gender Lived,CisM,Gender lived,TFEM,Canada,52.9
Gender Lived,CisM,None,None,"Whitehorse, YK",49
Gender Lived,CisM,None,None,"Central and Northern Vancouver Island, BC",65.9
Gender Lived,CisM,None,None,"Prince Albert, SK",52.2
Gender Lived,CisM,None,None,"Regina, SK",60
Gender Lived,CisM,None,None,"Winnipeg, MN",54.4
Gender Lived,CisM,None,None,"Thunder Bay, ON",59
Gender Lived,CisM,None,None,"London, ON",79.2
Gender Lived,CisM,None,None,"Hamilton, ON",67.9
Gender Lived,CisM,None,None,"Ottawa, ON and the region of Outaouais, QC",65
Gender Lived,CisM,None,None,"Montréal and the urban sites in the region of Montérégie, QC",83.8
Gender Lived,CisM,None,None,"Québec City, QC",66.4
Gender Lived,CisM,None,None,Semi-urban sites in the province of Quebec,80
Gender Lived,CisM,None,None,New Brunswick,64
Gender Lived,CisM,None,None,Newfoundland,68.5
Gender Lived,CisM,Age group,Less than 25 years,"Whitehorse, YK",100
Gender Lived,CisM,Age group,25 to 39 years,"Whitehorse, YK",39.3
Gender Lived,CisM,Age group,40 to 54 years,"Whitehorse, YK",60
Gender Lived,CisM,Age group,55 years or more,"Whitehorse, YK",33.3
Gender Lived,CisM,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",63.6
Gender Lived,CisM,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",62
Gender Lived,CisM,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",69.6
Gender Lived,CisM,Age group,55 years or more,"Central and Northern Vancouver Island, BC",78.9
Gender Lived,CisM,Age group,Less than 25 years,"Prince Albert, SK",25
Gender Lived,CisM,Age group,25 to 39 years,"Prince Albert, SK",44
Gender Lived,CisM,Age group,40 to 54 years,"Prince Albert, SK",63.2
Gender Lived,CisM,Age group,55 years or more,"Prince Albert, SK",75
Gender Lived,CisM,Age group,Less than 25 years,"Regina, SK",33.3
Gender Lived,CisM,Age group,25 to 39 years,"Regina, SK",50.6
Gender Lived,CisM,Age group,40 to 54 years,"Regina, SK",68.1
Gender Lived,CisM,Age group,55 years or more,"Regina, SK",69.6
Gender Lived,CisM,Age group,Less than 25 years,"Winnipeg, MN",26.3
Gender Lived,CisM,Age group,25 to 39 years,"Winnipeg, MN",50.6
Gender Lived,CisM,Age group,40 to 54 years,"Winnipeg, MN",54.1
